x,y,z,timestamp
-0.55,0.18,0.0,2025-09-02 18:18:58.553
-0.55,0.24,0.0,2025-09-02 18:18:59.573
-0.61,0.18,0.06,2025-09-02 18:19:00.596
-0.55,0.24,0.0,2025-09-02 18:19:01.417
-0.55,0.18,0.0,2025-09-02 18:19:02.441
-0.55,0.18,0.0,2025-09-02 18:19:03.463
-0.55,0.24,0.06,2025-09-02 18:19:04.488
-0.61,0.18,0.06,2025-09-02 18:19:05.512
-0.61,0.24,0.0,2025-09-02 18:19:06.538
-0.55,0.24,0.0,2025-09-02 18:19:07.558
-0.61,0.24,0.0,2025-09-02 18:19:08.588
-0.55,0.18,0.0,2025-09-02 18:19:09.613
-0.61,0.24,0.0,2025-09-02 18:19:10.633
-0.55,0.18,0.0,2025-09-02 18:19:11.453
-0.61,0.24,0.06,2025-09-02 18:19:12.476
-0.61,0.18,0.0,2025-09-02 18:19:13.497
-0.61,0.24,0.0,2025-09-02 18:19:14.518
-0.55,0.18,0.0,2025-09-02 18:19:15.543
-0.55,0.18,0.0,2025-09-02 18:19:16.578
-0.55,0.18,0.0,2025-09-02 18:19:17.653
-0.61,0.24,0.0,2025-09-02 18:19:18.627
-0.55,0.18,0.0,2025-09-02 18:19:19.648
-0.61,0.18,0.0,2025-09-02 18:19:20.668
-0.55,0.18,0.0,2025-09-02 18:19:21.698
-0.55,0.24,0.06,2025-09-02 18:19:22.525
-0.55,0.24,0.0,2025-09-02 18:19:23.537
-0.67,0.18,0.06,2025-09-02 18:19:24.569
-0.55,0.18,0.0,2025-09-02 18:19:25.578
-0.61,0.24,0.06,2025-09-02 18:19:26.606
-0.55,0.18,0.0,2025-09-02 18:19:27.642
-0.61,0.24,0.0,2025-09-02 18:19:28.657
-0.61,0.24,0.0,2025-09-02 18:19:29.679
-0.55,0.18,0.0,2025-09-02 18:19:30.698
-0.49,0.18,0.0,2025-09-02 18:19:31.517
-0.55,0.18,0.0,2025-09-02 18:19:32.558
-0.61,0.24,0.0,2025-09-02 18:19:33.568
-0.55,0.18,0.0,2025-09-02 18:19:34.592
-0.55,0.18,0.06,2025-09-02 18:19:35.616
-0.55,0.18,0.0,2025-09-02 18:19:36.642
-0.61,0.24,0.0,2025-09-02 18:19:37.677
-0.61,0.18,0.06,2025-09-02 18:19:38.696
-0.55,0.18,0.0,2025-09-02 18:19:39.717
-0.61,0.24,0.0,2025-09-02 18:19:40.732
-0.61,0.18,0.06,2025-09-02 18:19:41.766
-0.55,0.18,0.06,2025-09-02 18:19:42.577
-0.61,0.24,0.0,2025-09-02 18:19:43.606
-0.55,0.18,0.0,2025-09-02 18:19:44.626
-0.61,0.18,0.0,2025-09-02 18:19:45.663
-0.55,0.18,0.0,2025-09-02 18:19:46.677
-0.61,0.24,0.0,2025-09-02 18:19:47.698
-0.55,0.18,0.0,2025-09-02 18:19:48.726
-0.61,0.18,0.0,2025-09-02 18:19:50.312
-0.61,0.18,0.06,2025-09-02 18:19:50.767
-0.55,0.18,0.0,2025-09-02 18:19:51.792
-0.61,0.24,0.0,2025-09-02 18:19:52.612
-0.55,0.18,0.0,2025-09-02 18:19:53.636
-0.55,0.18,0.0,2025-09-02 18:19:54.662
-0.61,0.18,0.0,2025-09-02 18:19:55.685
-0.61,0.24,0.0,2025-09-02 18:19:56.724
-0.55,0.18,0.0,2025-09-02 18:19:57.736
-0.61,0.18,0.0,2025-09-02 18:19:58.762
-0.61,0.18,0.06,2025-09-02 18:19:59.787
-0.61,0.24,0.0,2025-09-02 18:20:00.807
-0.55,0.18,0.06,2025-09-02 18:20:01.827
-0.55,0.18,0.0,2025-09-02 18:20:02.652
-0.55,0.18,0.06,2025-09-02 18:20:03.677
-0.61,0.18,0.06,2025-09-02 18:20:05.105
-0.55,0.18,0.0,2025-09-02 18:20:05.722
-0.61,0.18,0.0,2025-09-02 18:20:06.747
-0.61,0.18,0.0,2025-09-02 18:20:07.771
-0.61,0.18,0.06,2025-09-02 18:20:08.798
-0.55,0.18,0.0,2025-09-02 18:20:09.817
-0.61,0.18,0.0,2025-09-02 18:20:10.837
-0.55,0.18,0.06,2025-09-02 18:20:11.867
-0.55,0.18,0.0,2025-09-02 18:20:12.685
-0.55,0.18,0.0,2025-09-02 18:20:13.717
-0.55,0.18,0.0,2025-09-02 18:20:14.737
-0.61,0.18,0.0,2025-09-02 18:20:15.757
-0.61,0.24,0.0,2025-09-02 18:20:16.777
-0.55,0.24,0.0,2025-09-02 18:20:17.806
-0.55,0.24,0.0,2025-09-02 18:20:18.826
-0.61,0.18,0.0,2025-09-02 18:20:19.851
-0.55,0.18,0.0,2025-09-02 18:20:20.877
-0.61,0.18,0.0,2025-09-02 18:20:21.897
-0.61,0.18,0.0,2025-09-02 18:20:22.716
-0.55,0.18,0.0,2025-09-02 18:20:23.742
-0.55,0.18,0.0,2025-09-02 18:20:24.772
-0.55,0.18,0.0,2025-09-02 18:20:25.792
-0.61,0.18,0.0,2025-09-02 18:20:26.811
-0.55,0.18,0.0,2025-09-02 18:20:27.835
-0.61,0.18,0.0,2025-09-02 18:20:28.864
-0.55,0.18,0.0,2025-09-02 18:20:29.887
-0.61,0.24,0.0,2025-09-02 18:20:30.912
-0.61,0.18,0.0,2025-09-02 18:20:31.932
-0.55,0.18,0.0,2025-09-02 18:20:32.752
-0.55,0.18,0.06,2025-09-02 18:20:33.785
-0.61,0.18,0.0,2025-09-02 18:20:34.806
-0.61,0.18,0.06,2025-09-02 18:20:35.831
-393.01,-204.04,118.29,2025-09-02 18:20:36.851
97.6,45.53,13.31,2025-09-02 18:20:37.872
9.46,-2.32,-6.47,2025-09-02 18:20:38.895
62.26,-1.95,52.19,2025-09-02 18:20:39.922
-0.12,0.49,-0.24,2025-09-02 18:20:40.946
-0.12,-0.37,0.18,2025-09-02 18:20:41.966
0.0,-0.61,-0.49,2025-09-02 18:20:42.786
0.24,-0.06,-1.04,2025-09-02 18:20:43.811
-0.73,-2.32,0.0,2025-09-02 18:20:44.836
-16.11,-31.19,-87.65,2025-09-02 18:20:45.866
-36.19,34.42,27.89,2025-09-02 18:20:46.886
-0.98,0.06,0.31,2025-09-02 18:20:47.914
9.16,1.4,-5.19,2025-09-02 18:20:48.935
0.37,0.37,-0.06,2025-09-02 18:20:49.955
-1.16,0.0,-0.24,2025-09-02 18:20:50.981
-0.98,0.55,0.06,2025-09-02 18:20:52.001
0.31,-0.31,-0.12,2025-09-02 18:20:52.821
-0.55,0.43,0.0,2025-09-02 18:20:53.847
40.83,5.31,45.17,2025-09-02 18:20:54.876
-1.04,1.22,-0.12,2025-09-02 18:20:55.896
-0.61,-1.34,-0.85,2025-09-02 18:20:56.922
-0.55,0.61,-0.06,2025-09-02 18:20:57.946
-0.55,0.49,0.12,2025-09-02 18:20:58.966
-0.61,-0.06,-0.43,2025-09-02 18:20:59.997
-0.06,-0.43,-0.43,2025-09-02 18:21:01.016
-0.18,-0.37,-0.24,2025-09-02 18:21:02.041
2.93,-2.5,-2.14,2025-09-02 18:21:02.856
-0.37,0.37,0.24,2025-09-02 18:21:03.888
-7.63,2.75,-3.54,2025-09-02 18:21:04.906
-2.08,0.49,-3.05,2025-09-02 18:21:05.931
-1.59,1.46,1.16,2025-09-02 18:21:06.956
4.27,-1.77,3.17,2025-09-02 18:21:07.976
